,year_income,state_id,median_income
718,2004,CA,64033
719,2004,CO,66198
720,2004,CT,71680
721,2004,DE,62507
722,2004,D.C,56525
723,2004,FL,52732
724,2004,GA,53316
725,2004,HI,73165
726,2004,ID,57705
727,2004,IL,59942
728,2004,IN,55066
729,2004,IA,56447
730,2004,KS,53423
731,2004,LA,47391
732,2004,KY,46325
733,2004,ME,53765
734,2004,MD,74285
735,2004,MA,67672
736,2004,MI,54971
737,2004,MN,72986
738,2004,MS,45213
739,2004,MO,54816
740,2004,MT,44173
741,2004,NE,56961
742,2004,NV,61408
743,2004,NH,73911
744,2004,NJ,71907
745,2004,NM,51466
746,2004,NY,58084
747,2004,NC,52346
748,2004,ND,51021
749,2004,OH,56010
750,2004,OK,51534
751,2004,OR,53329
752,2004,PA,57378
753,2004,RI,62359
754,2004,SC,50333
755,2004,SD,53476
756,2004,TN,49528
757,2004,TX,53853
758,2004,UT,66178
759,2004,VT,61570
760,2004,VA,66529
761,2004,WA,64944
762,2004,WV,43415
763,2004,WI,59493
764,2004,WY,59057
765,2005,AL,46745
766,2005,AK,70326
767,2005,AZ,56931
768,2005,AR,46126
769,2005,CA,65122
770,2005,CO,63479
771,2005,CT,71514
772,2005,DE,64468
773,2005,D.C,56614
774,2005,FL,54093
775,2005,GA,57788
776,2005,HI,74976
777,2005,ID,55586
778,2005,IL,60898
779,2005,IN,53398
780,2005,IA,58510
781,2005,KS,52882
782,2005,LA,46853
783,2005,KY,46178
784,2005,ME,55267
785,2005,MD,76141
786,2005,MA,70485
787,2005,MI,57796
788,2005,MN,68218
789,2005,MS,41366
790,2005,MO,54088
791,2005,MT,46950
792,2005,NE,60300
793,2005,NV,60660
794,2005,NH,71702
795,2005,NJ,79735
796,2005,NM,49006
797,2005,NY,59361
798,2005,NC,52918
799,2005,ND,53089
800,2005,OH,55620
801,2005,OK,47368
802,2005,OR,55564
803,2005,PA,58258
804,2005,RI,62265
805,2005,SC,50621
806,2005,SD,54296
807,2005,TN,49584
808,2005,TX,52120
809,2005,UT,68970
810,2005,VT,63800
811,2005,VA,65322
812,2005,WA,63727
813,2005,WV,45858
814,2005,WI,56182
815,2005,WY,56268
816,2006,AL,46255
817,2006,AK,68761
818,2006,AZ,56864
819,2006,AR,45164
820,2006,CA,67421
821,2006,CO,67882
822,2006,CT,76056
823,2006,DE,63910
824,2006,D.C,59082
825,2006,FL,55669
826,2006,GA,60139
