YEAR,STATE,STATE_id,Median_Income
2002,Utah,UT,65397
2002,Vermont,VT,58753
2002,Virginia,VA,67815
2002,Washington,WA,61738
2002,West Virginia,WV,40116
2002,Wisconsin,WI,62721
2002,Wyoming,WY,54332
2003,Alaska,AL,49774
2003,Alabama,AK,69257
2003,Arizona,AZ,55000
2003,Arkansas,AR,42756
2003,California,CA,65867
2003,Colorado,CO,66722
2003,Connecticut,CT,73436
2003,Delaware,DE,65492
2003,DC,D.C,60181
2003,Florida,FL,52068
2003,Georgia,GA,56699
2003,Hawaii,HI,69253
2003,Idaho,ID,56611
2003,Illinois,IL,60327
2003,Indiana,IN,56682
2003,Iowa,IA,55291
2003,Kansas,KS,59096
2003,Lousiana,LA,44767
2003,Kentucky,KY,49348
2003,Maine,ME,49585
2003,Maryland,MD,69894
2003,Massachusetts,MA,68078
2003,Michigan,MI,60152
2003,Minnesota,MN,70574
2003,Mississippi,MS,43726
2003,Missouri,MO,58468
2003,Montana,MT,45570
2003,Nebraska,NE,58751
2003,Nevada,NV,60368
2003,New Hampshire,NH,74240
2003,New Jersey,NJ,74879
2003,New Mexico,NM,46902
2003,New York,NY,57167
2003,North Carolina,NC,49807
2003,North Dakota,ND,53990
2003,Ohio,OH,58145
2003,Oklahoma,OK,47967
2003,Oregon,OR,55630
2003,Pennsylvania,PA,57361
2003,Rhode Island,RI,59736
2003,South Carolina,SC,51410
2003,South Dakota,SD,52803
2003,Tennesse,TN,50133
2003,Texas,TX,52468
2003,Utah,UT,65834
2003,Vermont,VT,57799
2003,Virginia,VA,73193
2003,Washington,WA,63473
2003,West Virginia,WV,43773
2003,Wisconsin,WI,61818
2003,Wyoming,WY,56855
2004,Alaska,AL,47651
2004,Alabama,AK,71632
2004,Arizona,AZ,57039
2004,Arkansas,AR,45511
2004,California,CA,64033
2004,Colorado,CO,66198
2004,Connecticut,CT,71680
2004,Delaware,DE,62507
2004,DC,D.C,56525
2004,Florida,FL,52732
2004,Georgia,GA,53316
2004,Hawaii,HI,73165
2004,Idaho,ID,57705
2004,Illinois,IL,59942
2004,Indiana,IN,55066
2004,Iowa,IA,56447
2004,Kansas,KS,53423
2004,Lousiana,LA,47391
2004,Kentucky,KY,46325
2004,Maine,ME,53765
2004,Maryland,MD,74285
2004,Massachusetts,MA,67672
2004,Michigan,MI,54971
2004,Minnesota,MN,72986
2004,Mississippi,MS,45213
2004,Missouri,MO,54816
2004,Montana,MT,44173
2004,Nebraska,NE,56961
2004,Nevada,NV,61408
2004,New Hampshire,NH,73911
2004,New Jersey,NJ,71907
2004,New Mexico,NM,51466
2004,New York,NY,58084
2004,North Carolina,NC,52346
2004,North Dakota,ND,51021
